Province,Category,Restaurant_Name,Total,Sentiment
QC,Pizza,Boston Pizza (Ste-Foy),0.70,Good
QC,Pizza,Jumelles Pizza,0.43,Bed
QC,Pizza,Kosher Pizza Bar (Boul. Cavendish),0.11,Bed
QC,Pizza,Marmiton Pizza (QUEBEC),0.50,Good
QC,Pizza,Pizza Avenue (Fleurimont),0.87,Good
QC,Pizza,Pizza Charest,0.42,Bed
QC,Pizza,Pizza Pizza (1345 Chemin Ste. Foy),0.86,Good
QC,Pizza,Pizza Pizza (2755 rue King Ouest),0.33,Bed
QC,Pizza,Pizza Pizza (St-Laurent Blvd.),0.49,Bed
QC,Pizza,Pizza Ramos,0.86,Good
QC,Pizza,Pizza Salvatoré (Sherbrooke Est),0.73,Good
QC,Pizza,Pizzéria No.900 (Montcalm),0.76,Good
QC,Pizza,Pizzaway,0.91,Good
QC,Pizza,PizzBox (Fleurimont),0.70,Good
QC,Pizza,PizzBox (St-Élie),0.64,Good
QC,Pizza,Village Grec,0.45,Bed
QC,Poutine,Bières et Frites (Ste-Foy),0.61,Good
QC,Salad / Sandwiches,Cafe et Crepe,0.86,Good
QC,Salad / Sandwiches,Julian’s Comptoir Gourmand,0.96,Good
QC,Salads,District Bagel Kosher,0.75,Good
QC,Salads,Super Pita,0.90,Good
QC,Sandwich,Ben & Florentine (2015 12 ave N.),0.09,Bed
QC,Sandwich,Copper Branch (Stanley),0.81,Good
QC,Sandwich,District Bagel Park Avenue,0.77,Good
QC,Sandwich,Le Subtil (Rue Grandjean),0.90,Good
QC,Sandwich,Première Moisson (Gare Centrale),0.49,Bed
QC,Sandwiches,Boulangerie de Froment et de Sève,0.76,Good
QC,Sandwiches,Boulangerie de Froment et de Sève (Petite Italie),0.90,Good
QC,Sandwiches,Capitaine Sandwich,0.91,Good
QC,Sandwiches,Fastoche Sandwicherie,0.59,Good
QC,Sandwiches,Les Moulins La Fayette,0.55,Good
QC,Sushi,ITACHO SUSHI À VOLONTÉ,0.90,Good
QC,Sushi,Shogun Sushi,0.12,Bed
QC,Sushi,Sushi Shop - Sherbrooke,-0.11,Bed
QC,Sushi,Sushiman (Centre les Rivières),-0.50,Bed
QC,Tex Mex,Quesada Burritos and Tacos (Boulevard Hamel),0.60,Good
QC,Thai,Thai Express (Cap-de-la-Madeleine),0.13,Bed
QC,Thai,Thai Express (Couronne),0.27,Bed
QC,Thai,Thai Express (Saint Fleurimont),0.05,Bed
QC,Thai,Thaizone (Barkoff),-0.23,Bed
QC,Thai,Thaizone (Sainte-Foy),0.45,Bed
QC,Traditional American,La Baraque à Frites,0.82,Good
QC,Turkish,Restaurant Éphèse,0.83,Good
QC,Vegan friendly,Café Frida,0.89,Good
QC,Vietnamese,Au Coin du Vietnam,0.55,Good
QC,Vietnamese,Banh Mi Hanoi,0.95,Good
QC,Wings,Benny&Co. (Trois-Rivières),0.87,Good
QC,Wings,Poulet Poulet (2755 rue King Ouest),0.33,Bed
